"- FORGE INVESTMENTS, LLC AB","$1,000,001 - $5,000,000","Mar. 04, 2024","Mar. 21, 2024",INVESTMENT IN FUND THAT OWNS DATABRICKS STOCK. DATABRICKS IS A SAN FRANCISCO ENGINEERING AND ANALYTIC
"- FORGE INVESTMENTS, LLC AB","$1,000,001 - $5,000,000","Mar. 04, 2024","Mar. 21, 2024",INVESTMENT IN FUND THAT OWNS DATABRICKS STOCK. DATABRICKS IS A SAN FRANCISCO ENGINEERING AND ANALYTIC
